ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
74;Sulawesi Tenggara;2020;61860;1351092;1037799261;-0.65;20449;-3.35;49718;2793.1;0.388;2956;320;11;44620;968
75;Gorontalo;2020;25410;593973;1068281802;-0.02;15128;-12.84;35693;1227.8;0.406;589;130;2;27273;1363
76;Sulawesi Barat;2020;23132;696118;8937606358;-2.34;18136;13.5;32837;1503.2;0.356;1136;61;1;25221;671
81;Maluku;2020;63489;839190;1083921454;-0.91;26198;-21.3;25094;1945.6;0.326;1594;221;8;21890;311
82;Maluku Utara;2020;29997;582499;1092823755;5.39;23338;0.25;33069;1355.6;0.29;1849;267;6;13289;294
91;Papua Barat;2020;33501;492851;1395013912;-0.76;27904;0.7;73933;1205.8;0.376;2977;414;26;4277;281
94;Papua;2020;75658;1767403;1309714361;2.39;32138;-0.47;46416;4542.6;0.395;4530;811;41;11812;282
11;Aceh;2019;148474;2405210;993433333;4.14;15065;12.19;30879;5316.3;0.321;4180;706;27;104801;2117
12;Sumatera Utara;2019;399262;7411780;1063963547;5.22;14061;9.01;54620;14639.4;0.315;6514;1233;38;122524;4628
13;Sumatera Barat;2019;144349;2684389;1164878521;5.01;15210;6.75;44886;5479.5;0.307;4901;412;24;97978;2734
14;Riau;2019;180661;3133812;1233245367;2.81;16270;8.02;111227;6835.1;0.331;7310;1074;39;58320;1517
15;Jambi;2019;71212;1754787;1068986733;4.35;14304;3.13;60829;3566.2;0.324;2781;363;10;27479;680
16;Sumatera Selatan;2019;190204;4202815;9588186253;5.69;13580;10.84;53359;8497.2;0.339;2864;806;50;77973;2334
17;Bengkulu;2019;33793;1035954;1096349809;4.94;14511;2.14;36565;1971.8;0.329;1321;162;6;21144;523
18;Lampung;2019;175657;4361854;9290242021;5.26;12575;3.59;42172;8457.6;0.331;3216;427;15;92214;2827
19;Kepulauan Bangka Belitung;2019;26063;728021;1509974174;3.32;17373;6.92;52233;1451.1;0.262;1090;107;2;22114;685
21;Kepulauan Riau;2019;80157;1068974;1778150222;4.83;22912;21.04;119395;2241.6;0.337;1670;453;16;16782;249
31;DKI Jakarta;2019;339402;5192351;2156112272;5.82;25236;8.57;268052;10504.1;0.391;1921;7317;854;50030;12899
32;Jawa Barat;2019;1929515;23993348;1266876585;5.02;17365;8.48;43309;49023.2;0.398;8649;3177;82;597300;32297
33;Jawa Tengah;2019;818276;18421193;9564032393;5.36;11828;5.13;39388;34552.5;0.358;10422;1433;40;857981;54440
34;DI Yogyakarta;2019;71482;2246194;1339725636;6.59;13275;1.37;36460;3868.6;0.428;1441;238;4;140215;6443
35;Jawa Timur;2019;835130;21867742;1036176674;5.53;13119;7.53;59015;39744.8;0.364;18530;2198;110;770419;92031
36;Banten;2019;489825;6042279;1426382015;5.26;21003;8.06;52014;12714.3;0.361;2418;945;32;108712;4427
51;Bali;2019;39288;2508294;1387153.65;5.6;16408;11.86;57756;4362;0.37;1832;322;9;156291;4829
